DataPoint,cycle_index,step_type,Time(h),Total Time(h),current_a,voltage_v,capacity_ah,spec_cap,chg_cap,chg_spec,dchg_cap,dchg_spec,energy_wh,date,power_w,mission_step,t_cum_s,Cycle,file,file_key,label,dvdt_v_per_s
29432,10,CC DChg,0.833333333333333,81.3659166666667,-0.00091945,3.5871,0.00076621,56.01,0.0,0.0,0.00076621,56.01,0.002855,2025-06-26 12:05:10,-0.00329814,take_off,0.0,10,2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811gen211420250619162502,GOOD_not_drone,-7.999999999999118e-05
31022,11,CC DChg,0.883333333333333,85.7310833333333,-0.00091944,3.6377,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.00307805,2025-06-26 16:27:07,-0.00334466,take_off,0.0,11,2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811gen211420250619162502,GOOD_drone,-0.0001000000000000334
33087,12,CC DChg,0.883333333333333,91.4226666666667,-0.00091946,3.6358,0.00081219,59.37,0.0,0.0,0.00081219,59.37,0.00307617,2025-06-26 22:08:37,-0.00334301,take_off,0.0,12,2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811gen211420250619162502,GOOD_drone,-9.00000000000123e-05
35147,13,CC DChg,0.883333333333333,97.0988888888889,-0.00091945,3.6374,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.00307771,2025-06-27 03:49:12,-0.00334444,take_off,0.0,13,2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811gen211420250619162502,GOOD_drone,-9.00000000000123e-05
37207,14,CC DChg,0.883333333333333,102.776138888889,-0.00091945,3.6359,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.00307569,2025-06-27 09:29:51,-0.00334305,take_off,0.0,14,2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811gen211420250619162502,GOOD_drone,-7.999999999999118e-05
39258,15,CC DChg,0.883333333333333,108.428666666667,-0.00091946,3.634,0.00081219,59.37,0.0,0.0,0.00081219,59.37,0.00307509,2025-06-27 15:09:01,-0.00334132,take_off,0.0,15,2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811gen211420250619162502,GOOD_drone,-8.999999999996789e-05
41306,16,CC DChg,0.883333333333333,114.073694444444,-0.00091945,3.6337,0.00081219,59.37,0.0,0.0,0.00081219,59.37,0.00307477,2025-06-27 20:47:44,-0.00334101,take_off,0.0,16,2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811gen211420250619162502,GOOD_drone,-0.0001000000000000334
43352,17,CC DChg,0.883333333333333,119.712972222222,-0.00091945,3.6332,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.00307414,2025-06-28 02:26:06,-0.00334054,take_off,0.0,17,2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811gen211420250619162502,GOOD_drone,-9.999999999998899e-05
45395,18,CC DChg,0.883333333333333,125.343222222222,-0.00091945,3.6321,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.00307353,2025-06-28 08:03:55,-0.0033395,take_off,0.0,18,2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811gen211420250619162502,GOOD_drone,-8.999999999996789e-05
47436,19,CC DChg,0.883333333333333,130.9665,-0.00091946,3.6322,0.00081219,59.37,0.0,0.0,0.00081219,59.37,0.00307343,2025-06-28 13:41:20,-0.00333963,take_off,0.0,19,2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811gen211420250619162502,GOOD_drone,-9.00000000000123e-05
49477,20,CC DChg,0.883333333333333,136.593333333333,-0.00091948,3.6358,0.0008122,59.37,0.0,0.0,0.0008122,59.37,0.00307612,2025-06-28 19:18:57,-0.00334302,take_off,0.0,20,2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811gen211420250619162502,GOOD_drone,-0.0001000000000000334
51524,21,CC DChg,0.883333333333333,142.233638888889,-0.00091947,3.6351,0.0008122,59.37,0.0,0.0,0.0008122,59.37,0.00307566,2025-06-29 00:57:23,-0.00334237,take_off,0.0,21,2025-06-11 MSE supplies Gra NMC811 Gen2 1_1_4_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811gen211420250619162502,GOOD_drone,-9.00000000000123e-05
30427,11,CC DChg,0.883333333333333,84.0800555555556,-0.00091945,3.6027,0.00081219,59.37,0.0,0.0,0.00081219,59.37,0.00305885,2025-06-26 14:46:57,-0.00331256,take_off,0.0,11,2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 _good.xlsx,20250611msesuppliesgranmc811xfc12320250619162502,GOOD_not_drone,-9.00000000000123e-05
32084,12,CC DChg,0.883333333333333,88.6376944444444,-0.00091945,3.5962,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.00305267,2025-06-26 19:20:25,-0.00330654,take_off,0.0,12,2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 _good.xlsx,20250611msesuppliesgranmc811xfc12320250619162502,GOOD_drone,-9.999999999998899e-05
33685,13,CC DChg,0.883333333333333,93.0389166666667,-0.00091945,3.5967,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.00305339,2025-06-26 23:44:30,-0.00330702,take_off,0.0,13,2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 _good.xlsx,20250611msesuppliesgranmc811xfc12320250619162502,GOOD_drone,-9.999999999998899e-05
35279,14,CC DChg,0.883333333333333,97.4222222222222,-0.00091945,3.5946,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.00305216,2025-06-27 04:07:31,-0.00330506,take_off,1.0,14,2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 _good.xlsx,20250611msesuppliesgranmc811xfc12320250619162502,GOOD_drone,-8.999999999996789e-05
36854,15,CC DChg,0.883333333333333,101.752083333333,-0.00091945,3.5885,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.00304781,2025-06-27 08:27:19,-0.00329947,take_off,0.0,15,2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 _good.xlsx,20250611msesuppliesgranmc811xfc12320250619162502,GOOD_drone,-9.999999999998899e-05
38399,16,CC DChg,0.883333333333333,106.000444444444,-0.00091944,3.5819,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.00304364,2025-06-27 12:42:14,-0.00329337,take_off,1.0,16,2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 _good.xlsx,20250611msesuppliesgranmc811xfc12320250619162502,GOOD_drone,-9.00000000000123e-05
39911,17,CC DChg,0.883333333333333,110.155527777778,-0.00091945,3.5756,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.00303852,2025-06-27 16:51:33,-0.00328761,take_off,1.0,17,2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 _good.xlsx,20250611msesuppliesgranmc811xfc12320250619162502,GOOD_drone,-9.00000000000123e-05
41386,18,CC DChg,0.883333333333333,114.2085,-0.00091945,3.5685,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.00303338,2025-06-27 20:54:44,-0.00328102,take_off,0.0,18,2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 _good.xlsx,20250611msesuppliesgranmc811xfc12320250619162502,GOOD_drone,-9.999999999998899e-05
42824,19,CC DChg,0.883333333333333,118.161194444444,-0.00091945,3.5607,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.00302726,2025-06-28 00:51:54,-0.00327383,take_off,0.0,19,2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 _good.xlsx,20250611msesuppliesgranmc811xfc12320250619162502,GOOD_not_drone,-0.0001000000000000334
44226,20,CC DChg,0.883333333333333,122.007416666667,-0.00091945,3.554,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.00302247,2025-06-28 04:42:41,-0.00326776,take_off,0.0,20,2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 _good.xlsx,20250611msesuppliesgranmc811xfc12320250619162502,GOOD_not_drone,-8.999999999996789e-05
45592,21,CC DChg,0.883333333333333,125.753722222222,-0.00091946,3.5471,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.00301708,2025-06-28 08:27:29,-0.00326144,take_off,0.0,21,2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 _good.xlsx,20250611msesuppliesgranmc811xfc12320250619162502,GOOD_not_drone,-9.00000000000123e-05
46930,22,CC DChg,0.883333333333333,129.41875,-0.00091945,3.5408,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.00301244,2025-06-28 12:07:24,-0.00325558,take_off,0.0,22,2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 _good.xlsx,20250611msesuppliesgranmc811xfc12320250619162502,GOOD_not_drone,-9.00000000000123e-05
48258,23,CC DChg,0.883333333333333,133.059583333333,-0.00091947,3.5389,0.00081219,59.37,0.0,0.0,0.00081219,59.37,0.00301102,2025-06-28 15:45:51,-0.00325394,take_off,0.0,23,2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 _good.xlsx,20250611msesuppliesgranmc811xfc12320250619162502,GOOD_not_drone,-9.999999999998899e-05
49575,24,CC DChg,0.883333333333333,136.668,-0.00091947,3.5344,0.0008122,59.37,0.0,0.0,0.0008122,59.37,0.00300795,2025-06-28 19:22:22,-0.00324978,take_off,0.0,24,2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 _good.xlsx,20250611msesuppliesgranmc811xfc12320250619162502,GOOD_not_drone,-0.0001000000000000334
50888,25,CC DChg,0.883333333333333,140.262027777778,-0.00091946,3.5275,0.0008122,59.37,0.0,0.0,0.0008122,59.37,0.00300389,2025-06-28 22:58:02,-0.00324335,take_off,1.0,25,2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 _good.xlsx,20250611msesuppliesgranmc811xfc12320250619162502,GOOD_not_drone,-8.999999999996789e-05
52202,26,CC DChg,0.883333333333333,143.860861111111,-0.00091947,3.5245,0.0008122,59.37,0.0,0.0,0.0008122,59.37,0.00300102,2025-06-29 02:33:58,-0.00324069,take_off,0.0,26,2025-06-11 MSE supplies Gra NMC811 XFC 1_2_3_2025-06-19 16-25-02 _good.xlsx,20250611msesuppliesgranmc811xfc12320250619162502,GOOD_not_drone,-0.0001000000000000334
28931,11,CC DChg,0.833305555555556,79.94025,-0.00091945,3.4576,0.00076618,56.0,0.0,0.0,0.00076618,56.0,0.00279513,2025-06-26 12:28:24,-0.00317905,take_off,1.0,11,2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811xfc32520250619162502,GOOD_not_drone,-0.00018999999999995686
30004,12,CC DChg,0.883333333333333,82.871,-0.00091944,3.5268,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.00302022,2025-06-26 15:24:16,-0.00324268,take_off,0.0,12,2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811xfc32520250619162502,GOOD_not_drone,-0.00012000000000003119
31102,13,CC DChg,0.883333333333333,85.8763333333333,-0.00091944,3.5182,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.00301474,2025-06-26 18:24:36,-0.00323475,take_off,1.0,13,2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811xfc32520250619162502,GOOD_not_drone,-0.00012000000000003119
32196,14,CC DChg,0.883333333333333,88.8686388888889,-0.00091944,3.5087,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.00300952,2025-06-26 21:24:09,-0.00322605,take_off,1.0,14,2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811xfc32520250619162502,BAD,-0.00013000000000000788
33288,15,CC DChg,0.883333333333333,91.8573888888889,-0.00091944,3.498,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.0030033,2025-06-27 00:23:29,-0.00321624,take_off,0.0,15,2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811xfc32520250619162502,BAD,-0.00013000000000000788
34370,16,CC DChg,0.883333333333333,94.8143055555555,-0.00091945,3.4818,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.00299591,2025-06-27 03:20:54,-0.00320131,take_off,0.0,16,2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811xfc32520250619162502,BAD,-0.00016999999999995908
35437,17,CC DChg,0.883333333333333,97.7315277777778,-0.00091945,3.4632,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.0029879,2025-06-27 06:15:57,-0.00318427,take_off,0.0,17,2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811xfc32520250619162502,BAD,-0.00019000000000000128
36489,18,CC DChg,0.883333333333333,100.607722222222,-0.00091944,3.434,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.00297704,2025-06-27 09:08:32,-0.00315736,take_off,0.0,18,2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811xfc32520250619162502,BAD,-0.00026000000000001575
37519,19,CC DChg,0.883333333333333,103.421972222222,-0.00091944,3.4111,0.00081218,59.37,0.0,0.0,0.00081218,59.37,0.0029709,2025-06-27 11:57:24,-0.00313634,take_off,0.0,19,2025-06-11 MSE supplies Gra NMC811 XFC 3_2_5_2025-06-19 16-25-02_good.xlsx,20250611msesuppliesgranmc811xfc32520250619162502,BAD,-0.00029999999999996696
